,weight,n_prot,chi,eRMSD
396,5.1552201781179175e-06,1.0,-0.829780,1.043537
397,8.224024879104122e-06,1.0,-1.082297,1.074153
398,1.3310339810545975e-05,1.0,-0.891510,0.967245
399,6.141591016655432e-06,1.0,-0.858486,1.029385
400,1.1728232651334536e-05,1.0,-1.147962,1.014775
401,8.037814878712306e-06,1.0,-0.830681,0.994258
402,8.340495062293494e-06,1.0,-1.055534,1.082041
403,1.2263950175584525e-07,1.0,-0.251273,1.083795
404,8.186643494820359e-06,1.0,-0.867495,1.115542
405,4.888879129659751e-06,1.0,-0.731858,1.112299
406,1.541016347550978e-05,1.0,-1.053026,1.154721
407,1.51899953066488e-05,1.0,-1.610150,1.136031
408,1.2064258074602256e-07,1.0,-0.301107,1.037166
409,1.1031516698715228e-05,1.0,-1.099855,1.016005
410,9.247026636517127e-06,1.0,-1.480542,1.047818
411,7.1951424359451675e-06,1.0,-0.962867,1.075414
412,1.4484205523292828e-05,1.0,-1.190796,1.001533
413,7.830561404255984e-07,1.0,-0.490156,0.991340
414,1.178743087720619e-05,1.0,-1.076673,1.119453
415,3.020376091114763e-06,1.0,-0.703248,1.035793
416,1.0395928502926495e-06,1.0,-0.549585,1.041656
417,1.4349953613724618e-05,1.0,-1.071964,0.993023
418,1.0450203725034216e-07,1.0,-0.268611,0.964217
419,1.272663883088358e-06,1.0,-0.500875,1.121247
420,2.7011543075139695e-06,1.0,-0.681630,1.070554
421,7.80285458020185e-08,1.0,-0.301994,0.890285
422,7.919868884290543e-06,1.0,-1.012464,1.040640
423,2.0336968043870318e-05,1.0,-1.061926,0.961152
424,3.7834139851091024e-06,1.0,-0.723148,1.018399
425,1.5136036309150834e-06,1.0,-0.596005,1.032906
426,4.924164440042622e-06,1.0,-0.818733,1.067042
427,7.16751500269402e-06,1.0,-0.853792,1.011431
428,2.7885493735625764e-08,1.0,-0.025538,0.955301
429,5.086320965144354e-06,1.0,-0.768312,1.011428
430,8.660931829450053e-06,1.0,-1.035778,1.090513
431,8.78023803908567e-12,0.0,-0.314887,0.836998
432,3.4219821631807164e-07,1.0,-0.420471,0.908314
433,1.7593471076721186e-05,1.0,-1.010023,0.967886
434,5.610235559986836e-06,1.0,-0.768836,1.109967
435,6.988395715097863e-06,1.0,-0.811196,0.999634
436,3.618160484802268e-08,1.0,-0.141187,0.924079
437,3.3671712620971647e-06,1.0,-0.676833,1.000793
438,4.458061572247863e-06,1.0,-0.698231,0.986466
439,9.420161351912421e-06,1.0,-1.243904,1.083621
440,7.69220101985969e-06,1.0,-0.967356,1.085993
441,7.421413788825071e-06,1.0,-1.001814,1.067661
442,7.089399553503515e-06,1.0,-0.915336,1.087386
443,7.793842973516337e-06,1.0,-0.993217,1.038646
444,7.775974132175643e-06,1.0,-0.959910,1.031059
445,5.391105912864941e-06,1.0,-0.821178,1.029975
446,3.5360079639480936e-06,1.0,-0.679822,0.997817
447,5.019433804325091e-06,1.0,-0.799121,1.028157
448,9.623092975020155e-06,1.0,-1.305402,1.044452
449,3.6737390248004874e-06,1.0,-0.742991,1.038792
450,6.963254500414745e-08,1.0,-0.229194,0.931060
451,8.53024583009625e-12,0.0,0.068325,1.015836
452,1.3963190729323552e-06,1.0,-0.627903,0.872600
453,5.572360055840782e-08,1.0,-0.456208,0.723074
454,1.9854910968950637e-08,1.0,-0.123743,0.890047
455,2.479472628821369e-08,1.0,0.057972,0.994264
456,1.953408532282225e-06,1.0,-0.629922,1.030275
457,9.222857672732476e-06,1.0,-1.129245,1.036680
458,1.3735596563977131e-06,1.0,-0.550875,0.990992
459,1.6706311016904077e-07,1.0,-0.279817,1.250771
460,1.0466180149483537e-06,1.0,-0.614011,1.283045
461,3.9669158871866535e-07,1.0,-0.452320,1.275633
462,1.874276468001565e-09,0.0,-0.952089,1.379398
463,3.50121393389051e-06,1.0,-0.946456,1.312311
464,6.066818868513277e-06,1.0,-1.287611,1.374346
465,2.3219788848636485e-07,1.0,-1.323301,1.567858
466,4.378975317125041e-07,1.0,-1.443308,1.541137
467,2.284046549624137e-07,1.0,-1.627351,1.552042
468,4.955659685670564e-06,1.0,-1.257734,1.288928
469,3.1850994208639637e-06,1.0,-1.909502,1.304900
470,4.121639057496673e-06,1.0,-1.444706,1.304083
471,5.072781493961335e-09,0.0,-1.257301,1.143310
472,1.0061969921620458e-05,1.0,-1.045503,1.018400
473,1.2381032769626094e-05,1.0,-1.387756,1.111964
474,1.4527574913327336e-05,1.0,-1.241600,1.130168
475,7.0659330844515665e-06,1.0,-1.045915,1.249329
476,5.655204148209541e-06,1.0,-0.772709,1.109182
477,9.535695976256162e-06,1.0,-1.120888,1.094005
478,7.981490067138192e-06,1.0,-0.993487,1.035196
479,6.947022780068768e-06,1.0,-0.908055,1.086672
480,8.713471876107151e-06,1.0,-0.971724,1.100541
481,1.1167570561333145e-05,1.0,-0.954333,1.204533
482,3.670791779345077e-06,1.0,-1.532468,1.333203
483,4.221529658482017e-06,1.0,-0.890092,1.261817
484,9.791391750804022e-06,1.0,-1.233311,1.240912
485,1.122393752333696e-05,1.0,-1.035350,1.216986
486,1.1207027026470854e-07,1.0,0.123469,1.144815
487,2.489863565784962e-07,1.0,-0.306106,1.107708
488,1.6291598921138402e-05,1.0,-1.377938,1.137229
489,8.728969614875905e-06,1.0,-1.179901,1.053614
490,7.23839921230864e-07,1.0,-0.503070,1.052750
491,1.2230324007938363e-05,1.0,-1.606085,1.117782
492,6.490011566957686e-10,0.0,-0.626576,1.102777
493,5.144796476236193e-06,1.0,-0.699196,1.186644
494,3.7783201538617433e-07,1.0,-0.324520,1.133393
495,1.465370119522173e-05,1.0,-1.384101,1.127113
